word
alarmist
rumor
rumors
broadcast
hoax
extremist
extremists
violence
violent
charge
charges
accused
claims
fraud
corrupt
corruption
criminal
criminals
crime
crimes
theft
scheme
schemes
scammer
scammers
scam
scams
revealed
expose
exposes
shocking
death
deaths
threatening
threat
threats
suspense
horror
shit
fuck
damn
caught
ridiculous
awful
absolutely
unreal
unbelievable
insane
crazy
totally
completely
annoying
literally
stupid
dumb
dumbass
dumbasses
bullshit
worse
except
wrong
fault
blame
lie
truth
devil
fear
fears
enemy
enemies
destroy
destroys
moron
morons
idiot
idiots
asshole
assholes
hypocrites
hypocrite
liar
liars
cheater
cheaters
cheat
