"FECcommittee","icpsr","first","last","fullname","state","chamber","district","party","start","end","twitter","twitter_lower","fold","num.tweets","done.handle.no.file","missing","tweets.svd","prop.tweets","has.alt","multiple.dist","alt.dist","dup.account","female","Official","c111th","c112th","c113th","c114th","c115th","c116th","c117th","user_id","screen_name","name"
"C00459255",21133,"todd","young","toddyoung","IN","Senate",NA,"R","1/5/2011","1/3/2023","sentoddyoung","sentoddyoung",6,3062,1,1,NA,NA,1,NA,NA,NA,0,1,0,1,1,1,1,1,1,"234128524","SenToddYoung","Senator Todd Young"
"C00459255",21133,"todd","young","toddyoung","IN","Senate",NA,"R","1/5/2011","1/3/2023","ToddYoungIN","toddyoungin",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,1,1,1,1,1,1,"59969802","ToddYoungIN","Todd Young"
"C00552547",21539,"lee","zeldin","leezeldin","NY","House","1","R","1/6/2015","1/3/2019","repleezeldin","repleezeldin",6,861,1,0,686,0.797,1,NA,NA,NA,0,1,0,0,0,1,1,1,1,"2750127259","RepLeeZeldin","Lee Zeldin"
"C00552547",21539,"lee","zeldin","leezeldin","NY","House","1","R","1/6/2015","1/3/2019","leezeldin","leezeldin",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,1,1,1,1,"15874918","leezeldin","Lee Zeldin"
"C00550871",21532,"ryan","zinke","ryanzinke","MT","House","1","R","1/6/2015","3/1/2017","repryanzinke","repryanzinke",6,1202,0,0,861,0.716,1,NA,NA,NA,0,1,0,0,0,1,0,0,0,"2953494478","RepRyanZinke","Ryan Zinke"
"C00550871",21532,"ryan","zinke","ryanzinke","MT","House","1","R","1/6/2015","3/1/2017","RyanZinke","ryanzinke",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,"1906282568","RyanZinke","Ryan Zinke"
"C00670695",41902,"mitt","romney","mittromney","UT","Senate",NA,"R","","","MittRomney","mittromney",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,1,1,"50055701","MittRomney","Mitt Romney"
"C00670695",41902,"mitt","romney","mittromney","UT","Senate",NA,"R","","","SenatorRomney","senatorromney",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,0,0,0,0,0,1,1,"1078693601356509184","SenatorRomney","Senator Mitt Romney"
"C00676965",41903,"rick","scott","rickscott","FL","Senate",NA,"R","","","ScottforFlorida","scottforflorida",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,1,1,"306389855","ScottforFlorida","Rick Scott"
"C00676965",41903,"rick","scott","rickscott","FL","Senate",NA,"R","","","SenRickScott","senrickscott",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,0,0,0,0,0,1,1,"131546062","SenRickScott","Rick Scott"
"C00306704",49700,"jeff","sessions","jeffsessions","AL","Senate",NA,"R","","","jeffsessions","jeffsessions",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,1,1,1,1,0,0,0,"986781648","jeffsessions","Jeff Sessions"
"C00652727",41901,"josh","hawley","joshhawley","MO","Senate",NA,"R","","","SenHawleyPress","senhawleypress",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,0,0,0,0,0,1,1,"1080960924687704064","SenHawleyPress","Senator Hawley Press Office"
"C00652727",41901,"josh","hawley","joshhawley","MO","Senate",NA,"R","","","HawleyMO","hawleymo",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,1,1,"2352629311","HawleyMO","Josh Hawley"
"C00653147",41900,"mike","braun","mikebraun","IN","Senate",NA,"R","","","SenatorBraun","senatorbraun",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,0,0,0,0,0,1,1,"1080870981877534720","SenatorBraun","Senator Mike Braun"
"C00653147",41900,"mike","braun","mikebraun","IN","Senate",NA,"R","","","braun4indiana","braun4indiana",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,1,1,"1861019372","braun4indiana","Mike Braun"
"C00663914",21757,"debbie","lesko","debbielesko","AZ","House","8","R","","","RepDLesko","repdlesko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,1,1,"996094929733652481","RepDLesko","Congresswoman Debbie Lesko"
"C00663914",21757,"debbie","lesko","debbielesko","AZ","House","8","R","","","DebbieLesko","debbielesko",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,1,1,"34715823","DebbieLesko","Debbie Lesko"
"C00631945",21751,"greg","gianforte","greggianforte","MT","House","1","R","","","GregForMontana","gregformontana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,"3420965229","GregForMontana","Greg Gianforte"
"C00629659",21754,"jimmy","gomez","jimmygomez","CA","House","34","D","","","RepJimmyGomez","repjimmygomez",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,1,1,"2371339658","RepJimmyGomez","Rep. Jimmy Gomez"
"C00629659",21754,"jimmy","gomez","jimmygomez","CA","House","34","D","","","JimmyGomezCA","jimmygomezca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,"398193180","JimmyGomezCA","Jimmy Gomez"
"C00647339",21755,"john","curtis","johncurtis","UT","House","3","R","","","RepJohnCurtis","repjohncurtis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,1,1,"931614483050414080","RepJohnCurtis","Rep. John Curtis"
"C00647339",21755,"john","curtis","johncurtis","UT","House","3","R","","","CurtisUT","curtisut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,"26057209","CurtisUT","John Curtis"
"C00675108",21761,"joe","morelle","joemorelle","NY","House","25","D","11/18/2018","","RepJoeMorelle","repjoemorelle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,1,1,"1064595993222615040","RepJoeMorelle","Joe Morelle"
"C00675108",21761,"joe","morelle","joemorelle","NY","House","25","D","11/18/2018","","votemorelle","votemorelle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,1,"977247448820305920","votemorelle","Joe Morelle"
