"FECcommittee","icpsr","first","last","fullname","state","chamber","district","party","start","end","twitter","twitter_lower","fold","num.tweets","done.handle.no.file","missing","tweets.svd","prop.tweets","has.alt","multiple.dist","alt.dist","dup.account","female","Official","c111th","c112th","c113th","c114th","c115th","c116th","c117th","user_id","screen_name","name"
"C00563940",21522,"ralph","abraham","ralphabraham","LA","House","5","R","1/6/2015","1/3/2019","repabraham","repabraham",1,306,0,0,253,0.827,1,NA,NA,NA,0,1,0,0,0,1,1,1,0,"2962891515","RepAbraham","Rep. Ralph Abraham"
"C00563941",21522,"ralph","abraham","ralphabraham","LA","House","5","R","1/6/2015","1/3/2019","abraham_ralph","abraham_ralph",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,1,1,1,0,NA,NA,NA
"C00165241",15000,"gary","ackerman","garyackerman","NY","House","5","D","1/3/1983","1/3/2013","repgaryackerman","repgaryackerman",5,281,0,0,255,0.907,0,NA,NA,NA,0,1,1,1,0,0,0,0,0,"92102359","RepGaryAckerman","Gary Ackerman"
"C00546358",21545,"alma","adams","almaadams","NC","House","12","D","11/12/2014","1/3/2019","repadams","repadams",0,2626,0,0,1838,0.7,1,NA,NA,NA,1,1,0,0,1,1,1,1,1,"2916086925","RepAdams","Rep. Alma Adams"
"C00546358",21545,"alma","adams","almaadams","NC","House","12","D","11/12/2014","1/3/2019","AlmaforCongress","almaforcongress",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0,1,1,1,1,1,"1609364557","AlmaforCongress","Alma Adams"
"C00463877",21120,"sandy","adams","sandyadams","FL","House","24","R","1/5/2011","1/3/2013","repsandyadams","repsandyadams",2,304,0,0,279,0.918,0,NA,NA,NA,1,1,0,1,0,0,0,0,0,"221447516","RepSandyAdams","Rep Sandy Adams"
"C00313247",29701,"robert","aderholt","robertaderholt","AL","House","4","R","1/7/1997","1/3/2019","robert_aderholt","robert_aderholt",5,1270,0,0,1126,0.887,0,NA,NA,NA,0,0,1,1,1,1,1,1,1,"76452765","Robert_Aderholt","Robert Aderholt"
"C00510461",21506,"pete","aguilar","peteaguilar","CA","House","31","D","1/6/2015","1/3/2019","aguilarpete","aguilarpete",0,722,0,0,52,0.072,1,NA,NA,NA,0,0,0,0,0,1,1,1,1,"41533245","aguilarpete","Pete Aguilar"
"C00510461",21506,"pete","aguilar","peteaguilar","CA","House","31","D","1/6/2015","1/3/2019","AguilarCampaign","aguilarcampaign",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,1,1,1,1,NA,NA,NA
"C00510461",21506,"pete","aguilar","peteaguilar","CA","House","31","D","1/6/2015","1/3/2019","reppeteaguilar","reppeteaguilar",2,978,0,0,777,0.794,1,NA,NA,NA,0,1,0,0,0,1,1,1,1,"3018670151","RepPeteAguilar","Rep. Pete Aguilar"
"C00054528",14400,"daniel","akaka","danielakaka","HI","Senate",NA,"D","1/4/1977","1/3/2013","senatorakaka","senatorakaka",0,388,0,0,322,0.83,0,NA,NA,NA,0,1,1,1,0,0,0,0,0,"308721230","SenatorAkaka","Daniel K. Akaka"
"C00343475",20123,"todd","akin","toddakin","MO","House","2","R","1/3/2001","1/3/2013","toddakin","toddakin",6,812,0,0,769,0.947,1,NA,NA,NA,0,0,1,1,0,0,0,0,0,"300560155","ToddAkin","Todd Akin"
"C00343475",20123,"todd","akin","toddakin","MO","House","2","R","1/3/2001","1/3/2013","REPTODDAKlN","reptoddakln",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,1,1,0,0,0,0,0,"772164248","REPTODDAKlN","Rep. W. Todd Akin"
"C00383745",40304,"lamar","alexander","lamaralexander","TN","Senate",NA,"R","1/7/2003","1/3/2021","senalexander","senalexander",7,3434,0,0,2456,0.715,1,NA,NA,NA,0,1,1,1,1,1,1,1,0,"76649729","SenAlexander","Lamar Alexander"
"C00383745",40304,"lamar","alexander","lamaralexander","TN","Senate",NA,"R","1/7/2003","1/3/2021","LamarAlexander","lamaralexander",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,1,1,1,1,1,0,"21669223","LamarAlexander","Lamar Alexander"
"C00506790",21516,"rick","allen","rickallen","GA","House","12","R","1/6/2015","1/3/2019","reprickallen","reprickallen",5,804,0,0,694,0.863,1,NA,NA,NA,0,1,0,0,0,1,1,1,1,"2964287128","RepRickAllen","Rick W. Allen"
"C00506790",21516,"rick","allen","rickallen","GA","House","12","R","1/6/2015","1/3/2019","rickallen","rickallen",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,1,1,1,1,"385111151","rickallen","Rick W. Allen"
"C00637868",21900,"colin","allred","colinallred","TX","House","32","D","","","ColinAllredTX","colinallredtx",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,1,1,"346964561","ColinAllredTX","Colin Allred"
"C00637868",21900,"colin","allred","colinallred","TX","House","32","D","","","RepColinAllred","repcolinallred",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,0,0,0,0,0,1,1,"1078355119920562176","RepColinAllred","Rep. Colin Allred"
"C00413310",20743,"jason","altmire","jasonaltmire","PA","House","4","D","1/4/2007","1/3/2013","jasonaltmire","jasonaltmire",7,3532,0,1,NA,NA,0,NA,NA,NA,0,0,1,1,0,0,0,0,0,"260845829","jasonaltmire","Jason Altmire"
"C00476291",21143,"justin","amash","justinamash","MI","House","3","R","1/5/2011","1/3/2019","justinamash","justinamash",0,13701,0,1,NA,NA,1,NA,NA,NA,0,0,0,1,1,1,1,1,0,"233842454","justinamash","Justin Amash"
"C00476291",21143,"justin","amash","justinamash","MI","House","3","R","1/5/2011","1/3/2019","teamamash","teamamash",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,1,1,1,1,1,0,"3359712531","teamamash","Team Amash"
"C00476291",21143,"justin","amash","justinamash","MI","House","3","R","1/5/2011","1/3/2019","amashoffice","amashoffice",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,1,1,1,1,1,0,"774742130329812992","amashoffice","Office of Rep. Amash Archive"
"C00496760",21196,"mark","amodei","markamodei","NV","House","2","R","9/13/2011","1/3/2019","markamodeinv2","markamodeinv2",5,1132,0,0,793,0.701,1,NA,NA,NA,0,0,0,1,1,1,1,1,1,"402719755","MarkAmodeiNV2","RepMarkAmodei"
"C00496760",21196,"mark","amodei","markamodei","NV","House","2","R","9/13/2011","1/3/2019","AmodeiForNevada","amodeifornevada",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,1,1,1,1,1,1,"85689484","AmodeiForNevada","Mark Amodei"
"C00670547",21901,"kelly","armstrong","kellyarmstrong","ND","House","1","R","","","Armstrong_ND","armstrong_nd",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,1,1,"964996994623311874","Armstrong_ND","Kelly Armstrong"
"C00670547",21901,"kelly","armstrong","kellyarmstrong","ND","House","1","R","","","RepArmstrongND","reparmstrongnd",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,0,0,0,0,0,1,1,"1080515866255593472","RepArmstrongND","Congressman Kelly Armstrong"
"C00588657",21700,"jodey","arrington","jodeyarrington","TX","House","19","R","1/3/2017","1/3/2019","reparrington","reparrington",4,208,0,0,104,0.5,1,NA,NA,NA,0,1,0,0,0,0,1,1,1,"816284664658874368","RepArrington","Rep. Jodey Arrington"
"C00588657",21700,"jodey","arrington","jodeyarrington","TX","House","19","R","1/3/2017","1/3/2019","JodeyArrington","jodeyarrington",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,1,1,1,"3609064098","JodeyArrington","Jodey Arrington"
"C00557181",21533,"brad","ashford","bradashford","NE","House","2","D","1/6/2015","1/3/2017","repbradashford","repbradashford",6,3660,0,0,3091,0.845,1,NA,NA,NA,0,1,0,0,0,1,0,0,0,"2964351843","RepBradAshford","Brad Ashford"
"C00557181",21533,"brad","ashford","bradashford","NE","House","2","D","1/6/2015","1/3/2017","BradAshford18","bradashford18",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,1,0,0,0,NA,NA,NA
"C00440115",20940,"steve","austria","steveaustria","OH","House","7","R","1/6/2009","1/3/2013","steveaustria","steveaustria",2,358,0,0,264,0.737,0,NA,NA,NA,0,0,1,1,0,0,0,0,0,"20796447","SteveAustria","Steve Austria"
"C00646844",21902,"Cindy","Axne","cindyaxne","IA","House","3","D","","","RepCindyAxne","repcindyaxne",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,0,0,0,0,0,1,1,"1080865917377097728","RepCindyAxne","Rep. Cindy Axne"
"C00646844",21902,"Cindy","Axne","cindyaxne","IA","House","3","D","","","Axne4Congress","axne4congress",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0,0,0,0,1,1,"867495243482058755","Axne4Congress","Cindy Axne"
"C00464297",41106,"kelly","ayotte","kellyayotte","NH","Senate",NA,"R","1/5/2011","1/3/2017","kellyayotte","kellyayotte",7,9594,0,0,8494,0.885,1,NA,NA,NA,1,0,0,1,1,1,0,0,0,"229592356","KellyAyotte","Kelly Ayotte"
"C00464297",41106,"kelly","ayotte","kellyayotte","NH","Senate",NA,"R","1/5/2011","1/3/2017","AyotteNH","ayottenh",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,1,1,1,0,0,0,"58883032","AyotteNH","Kelly Ayotte"
"C00553859",21551,"brian","babin","brianbabin","TX","House","36","R","","","Babin4Congress","babin4congress",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,1,"2249022318","Babin4Congress","Dr. Brian Babin"
"C00553859",21551,"brian","babin","brianbabin","TX","House","36","R","1/6/2015","1/3/2019","repbrianbabin","repbrianbabin",3,1675,0,0,1183,0.706,0,NA,NA,NA,0,1,0,0,0,1,1,1,1,"2929491549","RepBrianBabin","Brian Babin"
"C00325449",29942,"joe","baca","joebaca","CA","House","43","D","11/6/1999","1/3/2013","repjoebaca","repjoebaca",2,622,0,0,546,0.878,0,NA,NA,NA,0,1,1,1,0,0,0,0,0,"40277246","RepJoeBaca","Congressman Joe Baca"
"C00410118",20728,"michele","bachmann","michelebachmann","MN","House","6","R","1/4/2007","1/3/2015","michelebachmann","michelebachmann",4,4283,0,0,2466,0.576,1,NA,NA,NA,1,0,1,1,1,0,0,0,0,"18217624","MicheleBachmann","Michele Bachmann"
"C00410118",20728,"michele","bachmann","michelebachmann","MN","House","6","R","1/4/2007","1/3/2015","TeamBachmann","teambachmann",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,1,1,1,0,0,0,0,"16446177","TeamBachmann","Michele Bachmann"
"C00260547",29301,"spencer","bachus","spencerbachus","AL","House","6","R","1/5/1993","1/3/2015","bachusal06","bachusal06",1,532,0,0,485,0.912,0,NA,NA,NA,0,0,1,1,1,0,0,0,0,"78431501","BachusAL06","Spencer Bachus"
"C00575167",21701,"don","bacon","donbacon","NE","House","2","R","1/3/2017","1/3/2019","repdonbacon","repdonbacon",3,317,0,0,188,0.593,1,NA,NA,NA,0,1,0,0,0,0,1,1,1,"818975124460335106","RepDonBacon","Rep. Don Bacon 🇺🇸🇺🇦"
"C00575167",21701,"don","bacon","donbacon","NE","House","2","R","1/3/2017","1/3/2019","DonJBacon","donjbacon",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,1,1,1,"3109108467","DonJBacon","Don Bacon 🇺🇸 🇺🇦"
"C00662940",29938,"Jim","Baird","jimbaird","IN","House","4","R","","","ElectJimBaird","electjimbaird",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,"123563657","ElectJimBaird","Jim Baird"
"C00662940",21903,"Jim","Baird","jimbaird","IN","House","4","R","","","RepJimBaird","repjimbaird",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,1,0,0,0,0,0,1,1,"1086316494450032640","RepJimBaird","Congressman Jim Baird"
"C00326801",29940,"tammy","baldwin","tammybaldwin","WI","Senate",NA,"D","1/6/1999","1/3/2019","senatorbaldwin","senatorbaldwin",3,9454,0,0,7431,0.786,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,"1074518754","SenatorBaldwin","Sen. Tammy Baldwin"
"C00326801",29940,"tammy","baldwin","tammybaldwin","WI","Senate",NA,"D","1/6/1999","1/3/2019","tammybaldwin","tammybaldwin",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,1,1,1,1,1,1,1,"87510313","tammybaldwin","Tammy Baldwin"
"C00577999",21702,"jim","banks","jimbanks","IN","House","3","R","1/3/2017","1/3/2019","repjimbanks","repjimbanks",4,333,0,0,237,0.712,1,NA,NA,NA,0,1,0,0,0,0,1,1,1,"816131319033950208","RepJimBanks","Jim Banks"
"C00577999",21702,"jim","banks","jimbanks","IN","House","3","R","1/3/2017","1/3/2019","Jim_Banks","jim_banks",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,1,1,1,"14836282","Jim_Banks","Jim Banks"
"C00512129",21199,"ron","barber","ronbarber","AZ","House","2","D","6/12/2012","1/3/2015","repronbarber","repronbarber",2,1914,0,0,1640,0.857,1,NA,NA,NA,0,1,0,1,1,0,0,0,0,"612117635","RepRonBarber","RepRonBarber"
"C00512129",21199,"ron","barber","ronbarber","AZ","House","2","D","6/12/2012","1/3/2015","RonBarberAZ","ronbarberaz",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,1,1,0,0,0,0,"486895422","RonBarberAZ","Ron Barber"
"C00376004",21171,"lou","barletta","loubarletta","PA","House","11","R","1/5/2011","1/3/2019","reploubarletta","reploubarletta",3,1850,0,0,1614,0.872,1,NA,NA,NA,0,1,0,1,1,1,1,0,0,"239871673","RepLouBarletta","Lou Barletta"
"C00376004",21171,"lou","barletta","loubarletta","PA","House","11","R","1/5/2011","1/3/2019","louforsenate","louforsenate",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,1,1,1,1,0,0,NA,NA,NA
"C00467571",21333,"garland","barr","garlandbarr","KY","House","6","R","1/3/2013","1/3/2019","repandybarr","repandybarr",3,2435,0,0,1830,0.752,1,NA,NA,NA,0,1,0,0,1,1,1,1,1,"1089334250","RepAndyBarr","Rep. Andy Barr"
"C00467571",21333,"garland","barr","garlandbarr","KY","House","6","R","1/3/2013","1/3/2019","barrforcongress","barrforcongress",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,1,1,1,1,1,"115186195","barrforcongress","Andy Barr"
"C00577353",21703,"nanette","barragan","nanettebarragan","CA","House","44","D","1/3/2017","1/3/2019","repbarragan","repbarragan",4,683,0,0,398,0.583,1,NA,NA,NA,1,1,0,0,0,0,1,1,1,"816833925456789505","RepBarragan","Nanette D. Barragán"
"C00577353",21703,"nanette","barragan","nanettebarragan","CA","House","44","D","1/3/2017","1/3/2019","Nanette4CA","nanette4ca",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0,0,0,1,1,1,"303633791","Nanette4CA","Nanette Barragán"
"C00436386",40707,"john","barrasso","johnbarrasso","WY","Senate",NA,"R","6/25/2007","1/3/2019","senjohnbarrasso","senjohnbarrasso",3,3409,0,0,2364,0.693,1,NA,NA,NA,0,1,1,1,1,1,1,1,1,"202206694","SenJohnBarrasso","Sen. John Barrasso"
"C00436386",40707,"john","barrasso","johnbarrasso","WY","Senate",NA,"R","6/25/2007","1/3/2019","barrassoforwyo","barrassoforwyo",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,1,1,1,1,1,1,"499268312","barrassoforwyo","John Barrasso"
"C00384735",20507,"john","barrow","johnbarrow","GA","House","12","D","1/4/2005","1/3/2015","barrow4ga","barrow4ga",0,293,0,0,260,0.887,0,NA,NA,NA,0,0,1,1,1,0,0,0,0,NA,NA,NA
"C00255190",29356,"roscoe","bartlett","roscoebartlett","MD","House","6","R","1/5/1993","1/3/2013","roscoe_bartlett","roscoe_bartlett",4,192,0,0,173,0.901,0,NA,NA,NA,0,0,1,1,0,0,0,0,0,"430172196","Roscoe_Bartlett","Roscoe Bartlett"
"C00195065",15085,"joe","barton","joebarton","TX","House","6","R","1/3/1985","1/3/2019","repjoebarton","repjoebarton",2,1942,1,0,1567,0.807,0,NA,NA,NA,0,1,1,1,1,1,1,0,0,"19929362","RepJoeBarton","Joe Barton"
"C00302570",29538,"charles","bass","charlesbass","NH","House","2","R","1/4/1995","1/3/2013","repcharlesbass","repcharlesbass",0,1601,0,1,NA,NA,0,NA,NA,NA,0,1,0,1,0,0,0,0,0,"235289157","RepCharlesBass","Rep. Charles Bass"
"C00476523",21110,"karen","bass","karenbass","CA","House","37","D","1/5/2011","1/3/2019","repkarenbass","repkarenbass",6,3463,0,0,2954,0.853,1,NA,NA,NA,1,1,0,1,1,1,1,1,1,"239949176","RepKarenBass","Congressmember Bass"
"C00476523",21110,"karen","bass","karenbass","CA","House","37","D","1/5/2011","1/3/2019","KarenBassTweets","karenbasstweets",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,1,1,1,1,1,1,NA,NA,NA
"C00328211",14203,"max","baucus","maxbaucus","MT","Senate",NA,"D","1/14/1975","2/6/2014","maxbaucus","maxbaucus",6,234,0,0,231,0.987,0,NA,NA,NA,0,0,1,1,1,0,0,0,0,"346637907","MaxBaucus","Max Baucus"
"C00306860",49901,"evan","bayh","evanbayh","IN","Senate",NA,"D","1/6/1999","1/3/2011","evanbayh","evanbayh",3,619,1,1,NA,NA,1,NA,NA,NA,0,0,1,0,0,0,0,0,0,"752500729202536448","EvanBayh","Evan Bayh"
"C00306860",49901,"evan","bayh","evanbayh","IN","Senate",NA,"D","1/6/1999","1/3/2011","senevanbayh","senevanbayh",6,207,0,0,37,0.179,1,NA,NA,NA,0,1,1,0,0,0,0,0,0,"80111837","SenEvanBayh","Evan Bayh"
"C00507368",21352,"joyce","beatty","joycebeatty","OH","House","3","D","1/3/2013","1/3/2019","repbeatty","repbeatty",1,4838,0,0,3805,0.786,1,NA,NA,NA,1,1,0,0,1,1,1,1,1,"1531521632","RepBeatty","Rep. Joyce Beatty"
"C00507368",21352,"joyce","beatty","joycebeatty","OH","House","3","D","1/3/2013","1/3/2019","JoyceBeatty","joycebeatty",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0,1,1,1,1,1,"582070020","JoyceBeatty","Joyce Beatty"
"C00264101",29316,"xavier","becerra","xavierbecerra","CA","House","31","D","1/5/1993","1/24/2017","agbecerra","agbecerra",2,3109,0,0,1356,0.436,1,NA,NA,NA,0,0,1,1,1,1,0,0,0,"133832049","AGBecerra","Archive - Attorney General Becerra"
"C00264101",29316,"xavier","becerra","xavierbecerra","CA","House","31","D","1/5/1993","1/24/2017","XavierBecerra","xavierbecerra",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,1,1,1,0,0,0,"565469671","XavierBecerra","Xavier Becerra"
"C00458059",40900,"mark","begich","markbegich","AK","Senate",NA,"D","1/6/2009","1/3/2015","senatorbegich","senatorbegich",1,2720,0,0,2494,0.917,1,NA,NA,NA,0,1,1,1,1,0,0,0,0,"83901492","SenatorBegich","Senator Mark Begich"
"C00458059",40900,"mark","begich","markbegich","AK","Senate",NA,"D","1/6/2009","1/3/2015","MarkBegich","markbegich",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,1,1,0,0,0,0,"14354562","MarkBegich","Mark Begich"
"C00476325",21141,"dan","benishek","danbenishek","MI","House","1","R","1/5/2011","1/3/2017","congressmandan","congressmandan",7,571,0,0,471,0.825,1,NA,NA,NA,0,0,0,1,1,1,0,0,0,"242761889","CongressmanDan","Dr. Dan Benishek"
"C00476325",21141,"dan","benishek","danbenishek","MI","House","1","R","1/5/2011","1/3/2017","Benishek","benishek",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,1,1,1,0,0,0,"125139645","Benishek","Dr. Dan Benishek"
"C00458398",40910,"michael","bennet","michaelbennet","CO","Senate",NA,"D","1/22/2009","1/3/2023","senbennetco","senbennetco",2,1582,0,0,1316,0.832,1,NA,NA,NA,0,1,1,1,1,1,1,1,1,NA,NA,NA
"C00458398",40910,"michael","bennet","michaelbennet","CO","Senate",NA,"D","1/22/2009","1/3/2023","BennetForCO","bennetforco",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,1,1,1,1,1,1,NA,NA,NA
"C00656033",21336,"kerry","bentivolio","kerrybentivolio","MI","House","11","R","1/3/2013","1/3/2015","repkerryb","repkerryb",5,1106,0,1,NA,NA,1,NA,NA,NA,0,1,0,0,1,0,0,0,0,"966442267","RepKerryB","Rep Kerry Bentivolio"
"C00656033",21336,"kerry","bentivolio","kerrybentivolio","MI","House","11","R","1/3/2013","1/3/2015","KerryB4Congress","kerryb4congress",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,1,0,0,0,0,"634904655","KerryB4Congress","Kerry Bentivolio"
"C00461061",21304,"ami","bera","amibera","CA","House","7","D","1/3/2013","1/3/2019","repbera","repbera",0,2417,0,0,2217,0.917,1,NA,NA,NA,1,1,0,0,1,1,1,1,1,"950783972","RepBera","Ami Bera, M.D."
"C00461061",21304,"ami","bera","amibera","CA","House","7","D","1/3/2013","1/3/2019","BeraForCongress","beraforcongress",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0,1,1,1,1,1,"43986986","BeraForCongress","Dr. Ami Bera"
"C00496703",21160,"rick","berg","rickberg","ND","House","1","R","1/5/2011","1/3/2013","rickbergnd","rickbergnd",7,276,0,0,265,0.96,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,"297552072","RickBergND","Rick Berg"
"C00614214",21704,"jack","bergman","jackbergman","MI","House","1","R","1/3/2017","1/3/2019","repjackbergman","repjackbergman",3,260,0,0,164,0.631,1,NA,NA,NA,0,1,0,0,0,0,1,1,1,"815241612154417152","RepJackBergman","Rep. Jack Bergman"
"C00614214",21704,"jack","bergman","jackbergman","MI","House","1","R","1/3/2017","1/3/2019","JackBergman_MI1","jackbergman_mi1",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,1,1,1,"751799352755052544","JackBergman_MI1","Jack Bergman"
"C00325738",29922,"shelley","berkley","shelleyberkley","NV","House","1","D","1/6/1999","1/3/2013","repberkley","repberkley",1,469,1,0,NA,NA,1,NA,NA,NA,1,1,1,1,0,0,0,0,0,NA,NA,NA
"C00325738",29922,"shelley","berkley","shelleyberkley","NV","House","1","D","1/6/1999","1/3/2013","Berkley4Senate","berkley4senate",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,1,1,0,0,0,0,0,"282296663","Berkley4Senate","Shelley Berkley"
"C00147686",15005,"howard","berman","howardberman","CA","House","28","D","1/3/1983","1/3/2013","rephowardberman","rephowardberman",4,158,1,0,NA,NA,1,NA,NA,NA,0,1,1,1,0,0,0,0,0,"227341953","RepHowardBerman","Howard Berman"
"C00147686",15005,"howard","berman","howardberman","CA","House","28","D","1/3/1983","1/3/2013","HowardBerman","howardberman",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,1,0,0,0,0,0,"408864952","HowardBerman","Howard Berman"
"C00555888",21554,"donald","beyer","donaldbeyer","VA","House","8","D","1/6/2015","1/3/2019","repdonbeyer","repdonbeyer",2,6355,0,0,3774,0.594,1,NA,NA,NA,0,1,0,0,0,1,1,1,1,"2962868158","RepDonBeyer","Rep. Don Beyer"
"C00555888",21554,"donald","beyer","donaldbeyer","VA","House","8","D","1/6/2015","1/3/2019","DonBeyerVA","donbeyerva",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,1,1,1,1,"2319503065","DonBeyerVA","Don Beyer"
"C00334037",14101,"joseph","biden","josephbiden","DE","Senate",NA,"D","1/3/1973","1/15/2009","joebiden","joebiden",0,1230,1,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,"939091","JoeBiden","Joe Biden"
"C00330241",29912,"judy","biggert","judybiggert","IL","House","13","R","1/6/1999","1/3/2013","judybiggert","judybiggert",1,903,1,0,NA,NA,0,NA,NA,NA,1,0,1,1,0,0,0,0,0,"21660348","JudyBiggert","RepBiggertArchive"
"C00610451",21705,"andy","biggs","andybiggs","AZ","House","5","R","1/3/2017","1/3/2019","andybiggs4az","andybiggs4az",7,637,0,1,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,1,1,1,"702601370344402944","andybiggs4az","Andy Biggs"
"C00610451",21705,"andy","biggs","andybiggs","AZ","House","5","R","1/3/2017","1/3/2019","RepAndyBiggsAZ","repandybiggsaz",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,1,0,0,0,0,1,1,1,"816652616625168388","RepAndyBiggsAZ","Rep Andy Biggs"
"C00300830",29508,"brian","bilbray","brianbilbray","CA","House","50","R","1/4/1995","1/3/2013","bilbrayca50","bilbrayca50",0,528,0,0,377,0.714,1,NA,NA,NA,0,0,1,1,0,0,0,0,0,"55235265","BilbrayCA50","Brian Bilbray"
"C00300830",29508,"brian","bilbray","brianbilbray","CA","House","50","R","1/4/1995","1/3/2013","brianbilbray","brianbilbray",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,1,0,0,0,0,0,"52932410","brianbilbray","Brian Bilbray"
"C00408534",20758,"gus","bilirakis","gusbilirakis","FL","House","12","R","1/4/2007","1/3/2019","repgusbilirakis","repgusbilirakis",3,5087,1,0,3888,0.764,1,NA,NA,NA,0,1,1,1,1,1,1,1,1,"26051676","RepGusBilirakis","Gus Bilirakis"
"C00408534",20758,"gus","bilirakis","gusbilirakis","FL","House","12","R","1/4/2007","1/3/2019","Bilirakis","bilirakis",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,1,1,1,1,1,1,"95236960","Bilirakis","Rep. Gus Bilirakis"
"C00561001",21527,"mike","bishop","mikebishop","MI","House","8","R","1/6/2015","1/3/2019","repmikebishop","repmikebishop",3,1342,0,0,906,0.675,1,NA,NA,NA,0,1,0,0,0,1,1,0,0,NA,NA,NA
"C00561001",21527,"mike","bishop","mikebishop","MI","House","8","R","1/6/2015","1/3/2019","ElectMikeBishop","electmikebishop",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,1,1,0,0,"2485713498","ElectMikeBishop","Mike Bishop"
"C00561001",21527,"mike","bishop","mikebishop","MI","House","8","R","1/6/2015","1/3/2019","MikeBishopMI","mikebishopmi",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,1,1,0,0,"37945547","MikeBishopMI","Mike Bishop"
"C00374231",20357,"rob","bishop","robbishop","UT","House","1","R","1/7/2003","1/3/2019","reprobbishop","reprobbishop",3,0,1,0,NA,NA,1,NA,NA,NA,0,1,1,1,1,1,1,1,0,"148006729","RepRobBishop","Rob Bishop"
"C00374231",20357,"rob","bishop","robbishop","UT","House","1","R","1/7/2003","1/3/2019","RobBishopUT","robbishoput",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,1,1,1,1,1,1,0,"712783082336571392","RobBishopUT","Bishop for Congress"
"C00266940",29339,"sanford","bishop","sanfordbishop","GA","House","2","D","1/5/1993","1/3/2019","sanfordbishop","sanfordbishop",2,1626,0,0,1299,0.799,0,NA,NA,NA,0,0,1,1,1,1,1,1,1,"249410485","SanfordBishop","Sanford Bishop, Jr."
"C00375618",20338,"timothy","bishop","timothybishop","NY","House","1","D","1/7/2003","1/3/2015","timbishopny","timbishopny",0,1497,0,0,1031,0.689,9,NA,NA,NA,0,0,1,1,1,0,0,0,0,"153919023","TimBishopNY","Tim Bishop"
